keyword,definition,category,filename,status_en,status_ja
Middleware,Software connecting different applications or systems.,Content Platform & CMS Integration,Middleware.md,completed,completed
Omnichannel Content Delivery,Consistent content across all channels and devices.,Content Platform & CMS Integration,Omnichannel-Content-Delivery.md,completed,completed
REST API,Architectural style for building web services.,Content Platform & CMS Integration,REST-API.md,completed,completed
Structured Content,Content organized in defined fields and formats.,Content Platform & CMS Integration,Structured-Content.md,completed,completed
Traditional CMS,Coupled CMS with integrated frontend and backend.,Content Platform & CMS Integration,Traditional-CMS.md,completed,completed
Webhook,HTTP callback triggered by events in applications.,Content Platform & CMS Integration,Webhook.md,completed,completed
WordPress,Popular open-source CMS powering many websites.,Content Platform & CMS Integration,WordPress.md,completed,completed
Chatbot Persona,The personality and voice of a conversational AI.,Conversation Design & UX Writing,Chatbot-Persona.md,completed,completed
Conversation Flow Design,Mapping out dialogue paths in conversational interfaces.,Conversation Design & UX Writing,Conversation-Flow-Design.md,completed,completed
Conversation Script,Pre-written dialogue for chatbot interactions.,Conversation Design & UX Writing,Conversation-Script.md,completed,completed
Dialog Turn,Single exchange in a conversation between user and system.,Conversation Design & UX Writing,Dialog-Turn.md,completed,completed
Error Message Design,Writing clear and helpful error communications.,Conversation Design & UX Writing,Error-Message-Design.md,completed,completed
Microcopy,Small bits of text that guide users through interfaces.,Conversation Design & UX Writing,Microcopy.md,completed,completed
UX Writing,Crafting user interface text to guide and help users.,Conversation Design & UX Writing,UX-Writing.md,completed,completed
Voice and Tone Guidelines,Standards for consistent brand communication style.,Conversation Design & UX Writing,Voice-and-Tone-Guidelines.md,completed,completed
Welcome Message,Initial greeting when users start a conversation.,Conversation Design & UX Writing,Welcome-Message.md,completed,completed
Account Health Score,Metric predicting customer retention risk.,Customer Journey Orchestration,Account-Health-Score.md,completed,completed
Churn Prediction,Using data to forecast which customers will leave.,Customer Journey Orchestration,Churn-Prediction.md,completed,completed
Cross-Sell,Selling related products to existing customers.,Customer Journey Orchestration,Cross-Sell.md,completed,completed
Customer Data Platform (CDP),Unified database of customer information.,Customer Journey Orchestration,Customer-Data-Platform--CDP-.md,completed,completed
Customer Effort Score (CES),Metric measuring how easy interactions are for customers.,Customer Journey Orchestration,Customer-Effort-Score--CES-.md,completed,completed
Customer Health Score,Combined metric indicating customer relationship status.,Customer Journey Orchestration,Customer-Health-Score.md,completed,completed
Customer Lifetime Value (CLV),Total revenue expected from a customer over time.,Customer Journey Orchestration,Customer-Lifetime-Value--CLV-.md,completed,completed
Customer Onboarding,Process of getting new customers started with product.,Customer Journey Orchestration,Customer-Onboarding.md,completed,completed
Customer Retention,Strategies to keep existing customers engaged.,Customer Journey Orchestration,Customer-Retention.md,completed,completed
Customer Segmentation,Dividing customers into groups based on characteristics.,Customer Journey Orchestration,Customer-Segmentation.md,completed,completed
Journey Analytics,Analyzing customer paths across touchpoints.,Customer Journey Orchestration,Journey-Analytics.md,completed,completed
Net Revenue Retention (NRR),Recurring revenue retained including expansion/churn.,Customer Journey Orchestration,Net-Revenue-Retention--NRR-.md,completed,completed
Next Best Action,AI-driven recommendations for customer engagement.,Customer Journey Orchestration,Next-Best-Action.md,completed,completed
Omnichannel Customer Experience,Seamless experience across all interaction channels.,Customer Journey Orchestration,Omnichannel-Customer-Experience.md,completed,completed
Personalization Engine,System delivering customized content and experiences.,Customer Journey Orchestration,Personalization-Engine.md,completed,completed
Proactive Engagement,Reaching out to customers before they contact you.,Customer Journey Orchestration,Proactive-Engagement.md,completed,completed
Real-Time Personalization,Customizing experiences based on current behavior.,Customer Journey Orchestration,Real-Time-Personalization.md,completed,completed
Touchpoint,Any interaction between customer and brand.,Customer Journey Orchestration,Touchpoint.md,completed,completed
Triggered Messaging,Automated messages based on user actions or events.,Customer Journey Orchestration,Triggered-Messaging.md,completed,completed
Upsell,Encouraging customers to purchase premium versions.,Customer Journey Orchestration,Upsell.md,completed,completed
Voice of Customer (VoC),Capturing customer feedback and preferences.,Customer Journey Orchestration,Voice-of-Customer--VoC-.md,completed,completed
Win-Back Campaign,Marketing to re-engage churned customers.,Customer Journey Orchestration,Win-Back-Campaign.md,completed,completed
Zero-Party Data,Data customers intentionally share with brands.,Customer Journey Orchestration,Zero-Party-Data.md,completed,completed
Churn Analysis,Examining why customers stop using products/services.,Customer Success & Retention,Churn-Analysis.md,completed,completed
Churn Rate,Percentage of customers who stop using service over time.,Customer Success & Retention,Churn-Rate.md,completed,completed
Customer Advocacy,Customers actively promoting a brand to others.,Customer Success & Retention,Customer-Advocacy.md,completed,completed
Customer Feedback Analysis,Analyzing customer input for insights and improvements.,Customer Success & Retention,Customer-Feedback-Analysis.md,completed,completed
Customer Success Manager,Role focused on ensuring customer achieve their goals.,Customer Success & Retention,Customer-Success-Manager.md,completed,completed
Customer Success Platform,Software for managing customer success activities.,Customer Success & Retention,Customer-Success-Platform.md,completed,completed
Expansion Revenue,Additional revenue from existing customers.,Customer Success & Retention,Expansion-Revenue.md,completed,completed
Product Adoption,Extent to which customers use product features.,Customer Success & Retention,Product-Adoption.md,completed,completed
Product Usage Analytics,Tracking how customers interact with products.,Customer Success & Retention,Product-Usage-Analytics.md,completed,completed
Quarterly Business Review (QBR),"Regular meetings reviewing customer success, goals.",Customer Success & Retention,Quarterly-Business-Review--QBR-.md,completed,completed
Renewal Management,Process of managing subscription renewals.,Customer Success & Retention,Renewal-Management.md,completed,completed
Retention Rate,Percentage of customers who remain over time.,Customer Success & Retention,Retention-Rate.md,completed,completed
Retention Strategy,Planned approach to keeping customers engaged.,Customer Success & Retention,Retention-Strategy.md,completed,completed
Risk Assessment (Customer),Identifying customers at risk of churning.,Customer Success & Retention,Risk-Assessment--Customer-.md,completed,completed
Success Plan,Document outlining goals and milestones for customer.,Customer Success & Retention,Success-Plan.md,completed,completed
Time to Value,How quickly customers realize product benefits.,Customer Success & Retention,Time-to-Value.md,completed,completed
Usage Metrics,Data on how customers use product features.,Customer Success & Retention,Usage-Metrics.md,completed,completed
Access Control List (ACL),Permissions defining who can access resources.,Cybersecurity & Compliance,Access-Control-List--ACL-.md,completed,completed
API Security,Protecting APIs from unauthorized access and attacks.,Cybersecurity & Compliance,API-Security.md,completed,completed
Authentication,Verifying user identity before granting access.,Cybersecurity & Compliance,Authentication.md,completed,completed
Authorization,Determining what actions authenticated users can perform.,Cybersecurity & Compliance,Authorization.md,completed,completed
CCPA (California Consumer Privacy Act),California law protecting consumer data privacy rights.,Cybersecurity & Compliance,CCPA--California-Consumer-Privacy-Act-.md,completed,completed
Compliance Audit,Review ensuring adherence to regulations and policies.,Cybersecurity & Compliance,Compliance-Audit.md,completed,completed
Credential Management,Secure handling of usernames and passwords.,Cybersecurity & Compliance,Credential-Management.md,completed,completed
Data Anonymization,Removing identifying information from data.,Cybersecurity & Compliance,Data-Anonymization.md,completed,completed
Data Breach Response,Procedures for handling security incidents.,Cybersecurity & Compliance,Data-Breach-Response.md,completed,completed
Data Classification,Categorizing data by sensitivity and handling requirements.,Cybersecurity & Compliance,Data-Classification.md,completed,completed
Data Loss Prevention (DLP),Tools preventing unauthorized data exfiltration.,Cybersecurity & Compliance,Data-Loss-Prevention--DLP-.md,completed,completed
Data Privacy,Protecting personal information from unauthorized use.,Cybersecurity & Compliance,Data-Privacy.md,completed,completed
Data Retention Policy,Guidelines for how long data should be kept.,Cybersecurity & Compliance,Data-Retention-Policy.md,completed,completed
Encryption at Rest,Protecting stored data through encryption.,Cybersecurity & Compliance,Encryption-at-Rest.md,completed,completed
Encryption in Transit,Protecting data during transmission.,Cybersecurity & Compliance,Encryption-in-Transit.md,completed,completed
Endpoint Security,Protecting devices that connect to networks.,Cybersecurity & Compliance,Endpoint-Security.md,completed,completed
HIPAA (Health Insurance Portability),US law protecting medical information privacy.,Cybersecurity & Compliance,HIPAA--Health-Insurance-Portability-.md,completed,completed
Identity and Access Management (IAM),Framework for managing digital identities and access.,Cybersecurity & Compliance,Identity-and-Access-Management--IAM-.md,completed,completed
Multi-Factor Authentication (MFA),Requiring multiple verification methods for access.,Cybersecurity & Compliance,Multi-Factor-Authentication--MFA-.md,completed,completed
OAuth,Authorization framework for third-party access.,Cybersecurity & Compliance,OAuth.md,completed,completed
Penetration Testing,Authorized simulated attacks to find vulnerabilities.,Cybersecurity & Compliance,Penetration-Testing.md,completed,completed
Privacy by Design,Building privacy into systems from the start.,Cybersecurity & Compliance,Privacy-by-Design.md,completed,completed
Role-Based Access Control (RBAC),Access permissions based on user roles.,Cybersecurity & Compliance,Role-Based-Access-Control--RBAC-.md,completed,completed
SAML (Security Assertion Markup Language),Standard for exchanging authentication data.,Cybersecurity & Compliance,SAML--Security-Assertion-Markup-Language-.md,completed,completed
Security Information and Event Management (SIEM),Aggregating and analyzing security event data.,Cybersecurity & Compliance,Security-Information-and-Event-Management--SIEM-.md,completed,completed
Single Sign-On (SSO),Authenticating once to access multiple applications.,Cybersecurity & Compliance,Single-Sign-On--SSO-.md,completed,completed
SOC 2 Compliance,Security certification for service organizations.,Cybersecurity & Compliance,SOC-2-Compliance.md,completed,completed
Threat Detection,Identifying potential security threats in systems.,Cybersecurity & Compliance,Threat-Detection.md,completed,completed
Two-Factor Authentication (2FA),Security requiring two verification methods.,Cybersecurity & Compliance,Two-Factor-Authentication--2FA-.md,completed,completed
Vulnerability Assessment,Identifying security weaknesses in systems.,Cybersecurity & Compliance,Vulnerability-Assessment.md,completed,completed
Zero Trust Security,Security model requiring verification for all access.,Cybersecurity & Compliance,Zero-Trust-Security.md,completed,completed
Business Intelligence (BI),Systems for analyzing and visualizing business data.,Data & Analytics Infrastructure,Business-Intelligence--BI-.md,completed,completed
Data Catalog,Inventory of data assets with metadata.,Data & Analytics Infrastructure,Data-Catalog.md,completed,completed
Data Governance,Policies and processes for managing data assets.,Data & Analytics Infrastructure,Data-Governance.md,completed,completed
Data Lake,Storage repository for raw data in various formats.,Data & Analytics Infrastructure,Data-Lake.md,completed,completed
Data Lakehouse,Combining data lake and data warehouse capabilities.,Data & Analytics Infrastructure,Data-Lakehouse.md,completed,completed
Data Lineage,Tracking data origins and transformations.,Data & Analytics Infrastructure,Data-Lineage.md,completed,completed
Data Mart,Subset of data warehouse for specific business area.,Data & Analytics Infrastructure,Data-Mart.md,completed,completed
Data Mesh,Decentralized approach to enterprise data management.,Data & Analytics Infrastructure,Data-Mesh.md,completed,completed
Data Quality,Measuring accuracy/completeness/reliability of data.,Data & Analytics Infrastructure,Data-Quality.md,completed,completed
Data Warehouse,Centralized repository for structured analytical data.,Data & Analytics Infrastructure,Data-Warehouse.md,completed,completed
ETL (Extract Transform Load),Process for moving and transforming data.,Data & Analytics Infrastructure,ETL--Extract-Transform-Load-.md,completed,completed
Event Streaming,Processing real-time data streams as they occur.,Data & Analytics Infrastructure,Event-Streaming.md,completed,completed
First-Party Data,Data collected directly from customers.,Data & Analytics Infrastructure,First-Party-Data.md,completed,completed
Master Data Management (MDM),Managing critical business data for consistency.,Data & Analytics Infrastructure,Master-Data-Management--MDM-.md,completed,completed
Metadata Management,Organizing information about data assets.,Data & Analytics Infrastructure,Metadata-Management.md,completed,completed
Real-Time Analytics,Analyzing data as it's generated.,Data & Analytics Infrastructure,Real-Time-Analytics.md,completed,completed
Reverse ETL,Syncing data from warehouse back to operational tools.,Data & Analytics Infrastructure,Reverse-ETL.md,completed,completed
Schema,Structure defining data organization and relationships.,Data & Analytics Infrastructure,Schema.md,completed,completed
Snowflake Schema,Data warehouse schema with normalized dimension tables.,Data & Analytics Infrastructure,Snowflake-Schema.md,completed,completed
Star Schema,Data warehouse schema with central fact table.,Data & Analytics Infrastructure,Star-Schema.md,completed,completed
Streaming Analytics,Analyzing data in motion as it flows through systems.,Data & Analytics Infrastructure,Streaming-Analytics.md,completed,completed
Third-Party Data,Data purchased from external providers.,Data & Analytics Infrastructure,Third-Party-Data.md,completed,completed
Change Management,Process for managing organizational transitions.,Digital Workplace & Employee Experience,Change-Management.md,completed,completed
Collaboration Platform,Tools enabling teamwork across locations.,Digital Workplace & Employee Experience,Collaboration-Platform.md,completed,completed
Digital Adoption Platform,Software guiding users through applications.,Digital Workplace & Employee Experience,Digital-Adoption-Platform.md,completed,completed
Digital Workplace Strategy,Plan for technology-enabled work environment.,Digital Workplace & Employee Experience,Digital-Workplace-Strategy.md,completed,completed
Employee Engagement Platform,Tools for measuring and improving engagement.,Digital Workplace & Employee Experience,Employee-Engagement-Platform.md,completed,completed
Employee Experience (EX),Overall experience employees have at work.,Digital Workplace & Employee Experience,Employee-Experience--EX-.md,completed,completed
Employee Feedback,Mechanisms for gathering worker input.,Digital Workplace & Employee Experience,Employee-Feedback.md,completed,completed
Employee Net Promoter Score (eNPS),Measuring employee loyalty and satisfaction.,Digital Workplace & Employee Experience,Employee-Net-Promoter-Score--eNPS-.md,completed,completed
Employee Onboarding,Process of integrating new hires.,Digital Workplace & Employee Experience,Employee-Onboarding.md,completed,completed
Employee Portal,Internal platform for accessing company resources.,Digital Workplace & Employee Experience,Employee-Portal.md,completed,completed
Employee Self-Service,Systems letting employees manage their own HR tasks.,Digital Workplace & Employee Experience,Employee-Self-Service.md,completed,completed
HR Analytics,Using data to improve human resources decisions.,Digital Workplace & Employee Experience,HR-Analytics.md,completed,completed
HR Service Delivery,How HR provides services to employees.,Digital Workplace & Employee Experience,HR-Service-Delivery.md,completed,completed
Internal Communications,Channels for communicating within organization.,Digital Workplace & Employee Experience,Internal-Communications.md,completed,completed
IT Service Catalog,Menu of available IT services for employees.,Digital Workplace & Employee Experience,IT-Service-Catalog.md,completed,completed
Learning Management System (LMS),Platform for delivering training content.,Digital Workplace & Employee Experience,Learning-Management-System--LMS-.md,completed,completed
Mobile Workforce,Employees working remotely or on the go.,Digital Workplace & Employee Experience,Mobile-Workforce.md,completed,completed
People Analytics,Using employee data for workforce insights.,Digital Workplace & Employee Experience,People-Analytics.md,completed,completed
Pulse Survey,Short frequent surveys measuring employee sentiment.,Digital Workplace & Employee Experience,Pulse-Survey.md,completed,completed
Remote Work Tools,Technology enabling distributed work.,Digital Workplace & Employee Experience,Remote-Work-Tools.md,completed,completed
Skills Gap Analysis,Identifying training needs across workforce.,Digital Workplace & Employee Experience,Skills-Gap-Analysis.md,completed,completed
Talent Development,Programs for growing employee capabilities.,Digital Workplace & Employee Experience,Talent-Development.md,completed,completed
Team Collaboration,Tools and practices for group work.,Digital Workplace & Employee Experience,Team-Collaboration.md,completed,completed
Training Effectiveness,Measuring impact of learning programs.,Digital Workplace & Employee Experience,Training-Effectiveness.md,completed,completed
Workflow Automation,Automating routine business processes.,Digital Workplace & Employee Experience,Workflow-Automation.md,completed,completed
Approval Workflow,Process requiring authorization at stages.,Editorial & Content Operations,Approval-Workflow.md,completed,completed
Asset Library,Repository for storing content assets.,Editorial & Content Operations,Asset-Library.md,completed,completed
Brand Guidelines,Standards for consistent brand presentation.,Editorial & Content Operations,Brand-Guidelines.md,completed,completed
Content Aging,Managing content relevance over time.,Editorial & Content Operations,Content-Aging.md,completed,completed
Content Archiving,Storing older content for future reference.,Editorial & Content Operations,Content-Archiving.md,completed,completed
Content Audit,Systematic review of existing content.,Editorial & Content Operations,Content-Audit.md,completed,completed
Content Brief,Document outlining requirements for content piece.,Editorial & Content Operations,Content-Brief.md,completed,completed
Content Expiration,Automatic removal of outdated content.,Editorial & Content Operations,Content-Expiration.md,completed,completed
Content Governance,Framework for managing content standards and processes.,Editorial & Content Operations,Content-Governance.md,completed,completed
Content Inventory,Catalog of all content assets.,Editorial & Content Operations,Content-Inventory.md,completed,completed
Content Lifecycle Management,Managing content from creation to retirement.,Editorial & Content Operations,Content-Lifecycle-Management.md,completed,completed
Content Migration,Moving content between systems or platforms.,Editorial & Content Operations,Content-Migration.md,completed,completed
Content Operations (Content Ops),Processes and tools for content production.,Editorial & Content Operations,Content-Operations--Content-Ops-.md,completed,completed
Content Staging,Testing content before publishing live.,Editorial & Content Operations,Content-Staging.md,completed,completed
Content Velocity,Speed of content production and publication.,Editorial & Content Operations,Content-Velocity.md,completed,completed
Content Workflow,Steps and approvals for content production.,Editorial & Content Operations,Content-Workflow.md,completed,completed
Editorial Calendar,Schedule for planned content publication.,Editorial & Content Operations,Editorial-Calendar.md,completed,completed
Editorial Guidelines,Standards for content style and quality.,Editorial & Content Operations,Editorial-Guidelines.md,completed,completed
Localization,Adapting content for different languages/regions.,Editorial & Content Operations,Localization.md,completed,completed
Localization Management,Coordinating multi-language content versions.,Editorial & Content Operations,Localization-Management.md,completed,completed
Multi-Author Workflow,Process supporting multiple content creators.,Editorial & Content Operations,Multi-Author-Workflow.md,completed,completed
Publishing Workflow,Process for moving content from draft to live.,Editorial & Content Operations,Publishing-Workflow.md,completed,completed
Quality Assurance (QA),Testing content for accuracy and quality.,Editorial & Content Operations,Quality-Assurance--QA-.md,completed,completed
Review Workflow,Process for content feedback and approval.,Editorial & Content Operations,Review-Workflow.md,completed,completed
Role-Based Permissions,Access rights based on user roles.,Editorial & Content Operations,Role-Based-Permissions.md,completed,completed
Style Guide,Document defining writing and design standards.,Editorial & Content Operations,Style-Guide.md,completed,completed
Translation Memory,Database of previously translated content.,Editorial & Content Operations,Translation-Memory.md,completed,completed
Translation Workflow,Process for creating multi-language content.,Editorial & Content Operations,Translation-Workflow.md,completed,completed
Version Control,Tracking changes to content over time.,Editorial & Content Operations,Version-Control.md,completed,completed
Workflow Optimization,Improving efficiency of content processes.,Editorial & Content Operations,Workflow-Optimization.md,completed,completed
Workflow Template,Pre-built process for common content tasks.,Editorial & Content Operations,Workflow-Template.md,completed,completed
Writing Guidelines,Standards for creating written content.,Editorial & Content Operations,Writing-Guidelines.md,completed,completed
Affective Computing,AI that recognizes and responds to human emotions.,Emerging Trends & Future Tech,Affective-Computing.md,completed,completed
Autonomous Systems,Systems operating independently without human control.,Emerging Trends & Future Tech,Autonomous-Systems.md,completed,completed
Brain-Computer Interface,Direct communication between brain and computer.,Emerging Trends & Future Tech,Brain-Computer-Interface.md,completed,completed
Digital Twin,Virtual replica of physical objects or systems.,Emerging Trends & Future Tech,Digital-Twin.md,completed,completed
Explainable AI (XAI),Making AI decisions interpretable to humans.,Emerging Trends & Future Tech,Explainable-AI--XAI-.md,completed,completed
Federated Learning,Training models across decentralized data sources.,Emerging Trends & Future Tech,Federated-Learning.md,completed,completed
Quantum Machine Learning,Applying quantum computing to ML algorithms.,Emerging Trends & Future Tech,Quantum-Machine-Learning.md,completed,completed
Responsible AI,Ethical frameworks for AI development and deployment.,Emerging Trends & Future Tech,Responsible-AI.md,completed,completed
Swarm Intelligence,Collective behavior of decentralized systems.,Emerging Trends & Future Tech,Swarm-Intelligence.md,completed,completed
Knowledge Article,Individual piece of content in knowledge base.,Knowledge Base & Self-Service,Knowledge-Article.md,completed,completed
Knowledge Base Architecture,Structure and organization of knowledge systems.,Knowledge Base & Self-Service,Knowledge-Base-Architecture.md,completed,completed
Knowledge Base Software,Tools for creating and managing knowledge bases.,Knowledge Base & Self-Service,Knowledge-Base-Software.md,completed,completed
Knowledge Capture,Process of documenting organizational knowledge.,Knowledge Base & Self-Service,Knowledge-Capture.md,completed,completed
Knowledge Curation,Maintaining quality and relevance of knowledge content.,Knowledge Base & Self-Service,Knowledge-Curation.md,completed,completed
Knowledge Feedback Loop,Using usage data to improve knowledge content.,Knowledge Base & Self-Service,Knowledge-Feedback-Loop.md,completed,completed
Knowledge Gap,Missing information in knowledge resources.,Knowledge Base & Self-Service,Knowledge-Gap.md,completed,completed
Knowledge Management Strategy,Plan for organizing and sharing knowledge.,Knowledge Base & Self-Service,Knowledge-Management-Strategy.md,completed,completed
Knowledge Search,Finding information within knowledge systems.,Knowledge Base & Self-Service,Knowledge-Search.md,completed,completed
Knowledge Sharing,Distributing information across organization.,Knowledge Base & Self-Service,Knowledge-Sharing.md,completed,completed
Knowledge Transfer,Moving expertise between people or systems.,Knowledge Base & Self-Service,Knowledge-Transfer.md,completed,completed
Knowledge Worker,Employee whose main asset is expertise.,Knowledge Base & Self-Service,Knowledge-Worker.md,completed,completed
Organizational Knowledge,Collective information held by an organization.,Knowledge Base & Self-Service,Organizational-Knowledge.md,completed,completed
Self-Service Analytics,Tools letting users analyze data independently.,Knowledge Base & Self-Service,Self-Service-Analytics.md,completed,completed
Self-Service Portal,Platform for users to find answers independently.,Knowledge Base & Self-Service,Self-Service-Portal.md,completed,completed
Self-Service Ratio,Percentage of issues resolved without agent help.,Knowledge Base & Self-Service,Self-Service-Ratio.md,completed,completed
Self-Service Success Rate,How often self-service resolves user issues.,Knowledge Base & Self-Service,Self-Service-Success-Rate.md,completed,completed
Ticket Deflection,Reducing support tickets through self-service.,Knowledge Base & Self-Service,Ticket-Deflection.md,completed,completed
After-Call Work (ACW),Tasks agents complete after ending calls.,Knowledge Management Systems,After-Call-Work--ACW-.md,completed,completed
Article Feedback,User ratings and comments on knowledge content.,Knowledge Management Systems,Article-Feedback.md,completed,completed
Article Template,Pre-formatted structure for knowledge articles.,Knowledge Management Systems,Article-Template.md,completed,completed
Content Freshness,How recently knowledge content was updated.,Knowledge Management Systems,Content-Freshness.md,completed,completed
Decision Tree,Branching logic for guiding users to solutions.,Knowledge Management Systems,Decision-Tree.md,completed,completed
Knowledge Analytics,Metrics on knowledge content usage and effectiveness.,Knowledge Management Systems,Knowledge-Analytics.md,completed,completed
Knowledge Attribution,Linking solutions to source knowledge content.,Knowledge Management Systems,Knowledge-Attribution.md,completed,completed
Knowledge Centered Service (KCS),Methodology integrating knowledge into support workflow.,Knowledge Management Systems,Knowledge-Centered-Service--KCS-.md,completed,completed
Knowledge Hoarding,Keeping information instead of sharing it.,Knowledge Management Systems,Knowledge-Hoarding.md,completed,completed
Knowledge Maintenance,Regular updating and improving of content.,Knowledge Management Systems,Knowledge-Maintenance.md,completed,completed
Knowledge Management,Capturing and sharing organizational knowledge.,Knowledge Management Systems,Knowledge-Management.md,completed,completed
Knowledge Repository,Central storage for organizational knowledge.,Knowledge Management Systems,Knowledge-Repository.md,completed,completed
Knowledge Reuse,Using existing content to solve new problems.,Knowledge Management Systems,Knowledge-Reuse.md,completed,completed
Knowledge Silos,Information isolated within departments.,Knowledge Management Systems,Knowledge-Silos.md,completed,completed
Knowledge Workflow,Process for creating and updating content.,Knowledge Management Systems,Knowledge-Workflow.md,completed,completed
Search Analytics,Analyzing search behavior and results.,Knowledge Management Systems,Search-Analytics.md,completed,completed
Search Optimization,Improving findability of knowledge content.,Knowledge Management Systems,Search-Optimization.md,completed,completed
Search Relevance,How well search results match user intent.,Knowledge Management Systems,Search-Relevance.md,completed,completed
Semantic Search,Search using meaning rather than keywords.,Knowledge Management Systems,Semantic-Search.md,completed,completed
Subject Matter Expert (SME),Person with deep expertise in specific area.,Knowledge Management Systems,Subject-Matter-Expert--SME-.md,completed,completed
Topic Map,Visual organization of related knowledge topics.,Knowledge Management Systems,Topic-Map.md,completed,completed
Breadcrumb Navigation,Path showing user's location in site hierarchy.,Metadata & Taxonomy for Glossary Sites,Breadcrumb-Navigation.md,completed,completed
Canonical URL,Preferred URL for pages with similar content.,Metadata & Taxonomy for Glossary Sites,Canonical-URL.md,completed,completed
Content Tagging,Applying labels to content for organization.,Metadata & Taxonomy for Glossary Sites,Content-Tagging.md,completed,completed
Dublin Core,Standard metadata vocabulary for resources.,Metadata & Taxonomy for Glossary Sites,Dublin-Core.md,completed,completed
Faceted Navigation,Filtering content by multiple attributes.,Metadata & Taxonomy for Glossary Sites,Faceted-Navigation.md,completed,completed
Folksonomy,User-generated tagging system.,Metadata & Taxonomy for Glossary Sites,Folksonomy.md,completed,completed
Glossary Management,Creating and maintaining term definitions.,Metadata & Taxonomy for Glossary Sites,Glossary-Management.md,completed,completed
Hierarchical Taxonomy,Classification with parent-child relationships.,Metadata & Taxonomy for Glossary Sites,Hierarchical-Taxonomy.md,completed,completed
Indexing,Organizing content for efficient retrieval.,Metadata & Taxonomy for Glossary Sites,Indexing.md,completed,completed
Information Architecture (IA),Organizing and structuring content for usability.,Metadata & Taxonomy for Glossary Sites,Information-Architecture--IA-.md,completed,completed
Internal Linking Strategy,Plan for connecting related content.,Metadata & Taxonomy for Glossary Sites,Internal-Linking-Strategy.md,completed,completed
Keyword Mapping,Assigning target keywords to content pages.,Metadata & Taxonomy for Glossary Sites,Keyword-Mapping.md,completed,completed
Linked Data,Structured data connecting related information.,Metadata & Taxonomy for Glossary Sites,Linked-Data.md,completed,completed
Metadata Schema,Structured format for describing content.,Metadata & Taxonomy for Glossary Sites,Metadata-Schema.md,completed,completed
Ontology,Formal representation of knowledge relationships.,Metadata & Taxonomy for Glossary Sites,Ontology.md,completed,completed
Related Content,Suggestions for similar or complementary content.,Metadata & Taxonomy for Glossary Sites,Related-Content.md,completed,completed
Rich Snippets,Enhanced search results with structured data.,Metadata & Taxonomy for Glossary Sites,Rich-Snippets.md,completed,completed
Schema Markup,Code helping search engines understand content.,Metadata & Taxonomy for Glossary Sites,Schema-Markup.md,completed,completed
Semantic Markup,HTML that describes meaning of content.,Metadata & Taxonomy for Glossary Sites,Semantic-Markup.md,completed,completed
SEO Metadata,Title tags and descriptions for search optimization.,Metadata & Taxonomy for Glossary Sites,SEO-Metadata.md,completed,completed
Site Architecture,Overall structure and organization of website.,Metadata & Taxonomy for Glossary Sites,Site-Architecture.md,completed,completed
Site Navigation,Methods for users to move through website.,Metadata & Taxonomy for Glossary Sites,Site-Navigation.md,completed,completed
Tag Cloud,Visual display of popular tags.,Metadata & Taxonomy for Glossary Sites,Tag-Cloud.md,completed,completed
Taxonomy,System for classifying and organizing content.,Metadata & Taxonomy for Glossary Sites,Taxonomy.md,completed,completed
URL Structure,Format and organization of web addresses.,Metadata & Taxonomy for Glossary Sites,URL-Structure.md,completed,completed
Vocabulary Control,Managing consistent terminology usage.,Metadata & Taxonomy for Glossary Sites,Vocabulary-Control.md,completed,completed
Agent Desktop,Unified interface for support agent tools.,Omnichannel Support,Agent-Desktop.md,completed,completed
Blended Agent,Agent handling both inbound and outbound contacts.,Omnichannel Support,Blended-Agent.md,completed,completed
Channel Integration,Connecting multiple communication channels.,Omnichannel Support,Channel-Integration.md,completed,completed
Channel Optimization,Improving performance of support channels.,Omnichannel Support,Channel-Optimization.md,completed,completed
Channel Preference,Customer's preferred communication method.,Omnichannel Support,Channel-Preference.md,completed,completed
Channel Switching,Moving conversations between channels.,Omnichannel Support,Channel-Switching.md,completed,completed
Contact Reason,Category of why customers reach out.,Omnichannel Support,Contact-Reason.md,completed,completed
Context Preservation,Maintaining conversation history across channels.,Omnichannel Support,Context-Preservation.md,completed,completed
Conversation History,Record of past interactions with customer.,Omnichannel Support,Conversation-History.md,completed,completed
Customer Context,Information about customer during interactions.,Omnichannel Support,Customer-Context.md,completed,completed
Customer Intent,What customer is trying to accomplish.,Omnichannel Support,Customer-Intent.md,completed,completed
Customer Interaction Management,Managing all customer touchpoints.,Omnichannel Support,Customer-Interaction-Management.md,completed,completed
Customer Profile,Comprehensive view of customer information.,Omnichannel Support,Customer-Profile.md,completed,completed
Email Management,Organizing and responding to customer emails.,Omnichannel Support,Email-Management.md,completed,completed
Email Ticketing,Converting emails into trackable support tickets.,Omnichannel Support,Email-Ticketing.md,completed,completed
First Response Time (FRT),Time until first reply to customer inquiry.,Omnichannel Support,First-Response-Time--FRT-.md,completed,completed
Handle Time,Duration of customer service interactions.,Omnichannel Support,Handle-Time.md,completed,completed
In-App Messaging,Communication within mobile applications.,Omnichannel Support,In-App-Messaging.md,completed,completed
Intelligent Routing,AI-driven direction of contacts to best resource.,Omnichannel Support,Intelligent-Routing.md,completed,completed
Interaction Analytics,Analyzing customer conversations for insights.,Omnichannel Support,Interaction-Analytics.md,completed,completed
Live Chat,Real-time text conversation with support.,Omnichannel Support,Live-Chat.md,completed,completed
